path,filename,class_name,label,width,height,mode,split
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_106.jpg,Plastic_106.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_034.jpg,Metal_034.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_173.jpg,Glass_173.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_106.jpg,Paper_106.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_094.jpg,Paper_094.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_160.jpg,B3_160.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_003.jpg,B3_003.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_179.jpg,Metal_179.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_077.jpg,B3_077.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_075.jpg,Organic_075.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_196.jpg,B3_196.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_159.jpg,Metal_159.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_130.jpg,B3_130.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_063.jpg,Plastic_063.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_099.jpg,Metal_099.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_140.jpg,Organic_140.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_036.jpg,Organic_036.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_144.jpg,Organic_144.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_131.jpg,Metal_131.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_006.jpg,Paper_006.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_153.jpg,B3_153.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_081.jpg,Organic_081.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Organic/Organic_087.jpg,Organic_087.jpg,Organic,3,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Metal/Metal_149.jpg,Metal_149.jpg,Metal,2,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_085.jpg,Paper_085.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_041.jpg,Paper_041.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_020.jpg,B3_020.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_053.jpg,Paper_053.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_058.jpg,Paper_058.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_018.jpg,Paper_018.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/B3/B3_042.jpg,B3_042.jpg,B3,0,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Paper/Paper_139.jpg,Paper_139.jpg,Paper,4,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_126.jpg,Plastic_126.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_059.jpg,Plastic_059.jpg,Plastic,5,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Glass/Glass_186.jpg,Glass_186.jpg,Glass,1,300,300,RGB,train
/content/drive/MyDrive/Capstone Coding Camp 2026/Dataset_Cleaned/Plastic/Plastic_046.jpg,Plastic_046.jpg,Plastic,5,300,300,RGB,train
